漢字	音読み	訓読み	画数	部首	異体字	れい	例	
盛	セイ、ジョウ	も(る)、さか(る)、さか(ん)	11	皿,さら		せいだい、もりあがる、はんじょう、おおもり	盛大、盛り上がる、繁盛、大盛り	
聖	セイ		13	耳,みみ		せいしょ、しんせい、せいいき、せいせん	聖書、神聖、聖域、聖戦	
誠	セイ	まこと	13	訁,ごんべん		まことに、せいい、せいじつ、ちゅうせい	誠に、誠意、誠実、忠誠	
宣	セン		9	宀,うかんむり		せんげん、せんこく、せんでん、せんせんふこく	宣言、宣告、宣伝、宣戦布告	
専	セン	もっぱ(ら)	9	寸,すん		せんもん、せんこう、せんねん、せんよう	専門、専攻、専念、専用	
泉	セン	いずみ	9	水,みず		おんせん、げんせん	温泉、源泉	
洗	セン	あら(う)	9	氵,さんずい		せんざい、せんたく、せんめんじょ	洗剤、洗濯、洗面所	
染	セン	そ(まる)、そ(める)、し(みる)	9	木,きへん		せんしょく、おせん、かんせん、でんせん	染色、汚染、感染、伝染	
善	ゼン	よ(い)	12	口,くち		かいぜん、ぜんあく、ぜんい	改善、善悪、善意	
奏	ソウ	かな(でる)	9	大,だい		えんそう、そうしゃ、がっそう、ばんそう	演奏、奏者、合奏、伴奏	
窓	ソウ	まど	11	穴,あなかんむり		まどぐち、まどぎわ、どうそうかい	窓口、窓際、同窓会	
創	ソウ	つく(る)	12	刂,りっとう		そうさく、そうぞう、そうりつ	創作、創造、創立	
装	ソウ、ショウ	よそお(う)	12	衣,ころも		いしょう、そうち、そうしょく、ふくそう	衣装、装置、装飾、服装	
層	ソウ		14	尸,しかばね		こうそうビル、いっそう、かいそう	高層ビル、一層、階層	
操	ソウ	あやつ(る)、みさお	16	扌,てへん		そうさ、そうじゅう、たいそう	操作、操縦、体操	
蔵	ゾウ	くら	15	艹,くさかんむり		れいぞうこ、おおくらしょう	冷蔵庫、大蔵省	
臓	ゾウ		19	月,にくづき		ぞうき、しんぞう、かんぞう、ないぞう	臓器、心臓、肝臓、内臓	
